nombre,poblacion,superficie,continente
Argentina,45951378,2780400,América
Japón,124800000,377975,Asia
Brasil,212812405,8515767,América
Alemania,84320000,357588,Europa
Canadá,40126723,9984670,América
China,1425000000,9596961,Asia
Francia,68500000,551695,Europa
India,1430000000,3287263,Asia
México,131946900,1964375,América
Australia,27100000,7692024,Oceania
Sudáfrica,60500000,1219090,África
Egipto,115000000,1002450,África
España,48000000,505990,Europa
Italia,59000000,301340,Europa
Rusia,144500000,17098242,Europa
Reino Unido,68600000,243610,Europa
Estados Unidos,347275807,9833517,América
Indonesia,292000000,1904569,Asia
Pakistán,246000000,881912,Asia
Bangladesh,175000000,147570,Asia
Nigeria,230000000,923768,África
Etiopía,130000000,1104300,África
Filipinas,119000000,300000,Asia
Vietnam,101500000,331212,Asia
Turquía,87000000,783562,Asia
Irán,88800000,1648195,Asia
Tailandia,70200000,513120,Asia
Reino de Marruecos,38000000,446550,África
Colombia,53425635,1141748,América
Sudán,49000000,1861484,África
Ucrania,41000000,603550,Europa
Polonia,37700000,312696,Europa
Perú,34576665,1285216,América
Venezuela,28516896,916445,América
Malasia,35000000,330803,Asia
Nepal,31500000,147516,Asia
Afganistán,42500000,652230,Asia
Chile,19859921,756102,América
Kazajistán,20500000,2724900,Asia
Somalia,18000000,637657,África
Zambia,21500000,752612,África
Mongolia,3600000,1564116,Asia
Suiza,8800000,41285,Europa
Suecia,10600000,450295,Europa
Noruega,5550000,385207,Europa
Finlandia,5600000,338424,Europa
Grecia,10500000,131957,Europa
Nueva Zelanda,5200000,268021,Oceania
Islandia,380000,103000,Europa
Irlanda,5200000,70273,Europa
Singapur,6000000,719,Asia